# x_c f_c(xc) f_c_ohne(xc)
0.2588 9.83477e-07 9.66697e-07
0.2592 9.83477e-07 9.66595e-07
0.2596 9.53674e-07 9.66492e-07
0.26 9.83477e-07 9.66389e-07
0.2604 9.83477e-07 9.66286e-07
0.2608 9.83477e-07 9.66183e-07
0.2612 9.53674e-07 9.6608e-07
0.2616 9.53674e-07 9.65977e-07
0.262 9.83477e-07 9.65873e-07
0.2624 9.53674e-07 9.6577e-07
0.2628 9.83477e-07 9.65666e-07
0.2632 9.83477e-07 9.65562e-07
0.2636 9.83477e-07 9.65458e-07
0.264 9.53674e-07 9.65353e-07
0.2644 9.83477e-07 9.65249e-07
0.2648 9.83477e-07 9.65144e-07
0.2652 9.83477e-07 9.65039e-07
0.2656 9.83477e-07 9.64934e-07
0.266 9.83477e-07 9.64829e-07
