# x_b f_b(xb) f_b_ohne(xb)
0.000157857 0 7.89279e-05
0.000158056 0 7.90274e-05
0.000158255 0 7.91269e-05
0.000158454 0 7.92264e-05
0.000158653 0 7.93259e-05
0.000158852 0 7.94254e-05
0.000159051 0 7.95249e-05
0.00015925 0 7.96244e-05
0.000159449 0 7.97239e-05
0.000159648 0 7.98234e-05
0.000159847 0 7.99229e-05
0.000160046 0 8.00224e-05
0.000160245 0 8.01219e-05
0.000160444 0 8.02214e-05
0.000160643 0 8.03209e-05
0.000160842 0 8.04204e-05
0.000161041 0 8.05199e-05
0.00016124 0 8.06194e-05
0.000161439 0 8.07189e-05
0.000161638 0 8.08184e-05
0.000161837 0 8.09179e-05
0.000162036 0 8.10174e-05
0.000162235 0 8.11169e-05
0.000162434 0 8.12164e-05
0.000162633 0 8.13159e-05
0.000162832 0 8.14154e-05
0.000163031 0 8.15149e-05
0.00016323 0 8.16144e-05
0.000163429 0 8.17139e-05
0.000163628 0 8.18134e-05
0.000163827 0 8.19129e-05
0.000164026 0 8.20124e-05
0.000164225 0 8.21119e-05
0.000164424 0 8.22114e-05
0.000164623 0 8.23109e-05
0.000164822 0 8.24104e-05
0.000165021 0 8.25099e-05
0.00016522 0 8.26094e-05
0.000165419 0 8.27089e-05
0.000165618 0 8.28084e-05
0.000165817 0 8.29079e-05
0.000166016 0 8.30074e-05
0.000166215 0 8.31069e-05
0.000166414 0 8.32064e-05
0.000166613 0 8.33059e-05
0.000166812 0 8.34054e-05
0.000167011 0 8.35049e-05
0.00016721 0 8.36044e-05
0.000167409 0 8.37039e-05
0.000167608 0 8.38034e-05
0.000167807 0 8.39029e-05
0.000168006 0 8.40024e-05
0.000168205 0 8.41019e-05
0.000168404 0 8.42014e-05
0.000168603 0 8.43009e-05
0.000168802 0 8.44004e-05
0.000169001 0 8.44999e-05
0.0001692 0 8.45994e-05
0.000169399 0 8.46989e-05
0.000169598 0 8.47984e-05
0.000169797 0 8.48979e-05
0.000169996 0 8.49974e-05
0.000170195 0 8.50969e-05
0.000170394 0 8.51964e-05
0.000170593 0 8.52959e-05
0.000170792 0 8.53954e-05
0.000170991 0 8.54949e-05
0.00017119 0 8.55944e-05
0.000171389 0 8.56938e-05
0.000171588 0 8.57933e-05
